locn_nbr,locn_cty,locn_st_cd,zip_cd,zip_pls_4,locn_addr,latitude,longitude,display_name,population_density,median_household_income,normalised_population_density,normalised_economy
1317,EL PASO             ,TX,79925,5600,8401 GATEWAY BLVD W      ,31.7784751,-106.38271330797117,"Cinemark, 8401, Gateway Boulevard West, El Paso, El Paso County, Texas, 79925, United States",2402.0,44217.0,5.749283809147486,15.005662927916408
1368,CONCORD             ,CA,94520,5802,1001 SUNVALLEY BLVD      ,37.9647421,-122.0603194,"Sears Auto Center, 1001, Sunvalley Boulevard, Concord, Contra Costa County, California, 94523, United States",3688.0,47313.0,8.925219796503013,17.26791129297432
1149,WHITTIER            ,CA,90603,2300,15600 WHITTWOOD LN       ,33.9434092,-117.9938535,"Whittwood Lane, Whittwood Town Center, Friendly Hills, Whittier, Los Angeles County, California, 90603, United States",6136.0,90477.0,14.970858441173565,48.8078623360491
1139,TUKWILA             ,WA,98188,2811,301 SOUTHCENTER MALL     ,47.4627356,-122.2559156,"Tukwila, King County, Washington, United States",3062.0,40815.0,7.3792354045243505,12.519820247707427
1283,BRAINTREE           ,MA,2184,2803,250 GRANITE ST           ,42.21981187837838,-71.02761885135135,"250, Granite Street, Braintree, Norfolk County, Massachusetts, 02184, United States",2600.0,81844.0,6.238269287760545,42.499725987358886
1765,PALM BCH GDNS       ,FL,33410,2820,3101 PGA BLVD            ,26.8481488,-80.0871512,"3101, PGA Boulevard, Palm Beach Gardens, Palm Beach County, Florida, 33410, United States",2857.0,58876.0,6.872962560505778,25.71699974425487
1288,STOCKTON            ,CA,95207,6305,5110 PACIFIC AVE         ,37.99560555350653,-121.31428850082494,"5110, Pacific Avenue, Stockton, San Joaquin County, California, 95207, United States",6610.0,39301.0,16.141460041489676,11.413539877973038
1044,JERSEY CITY         ,NJ,7310,1601,50 MALL DR WEST          ,40.7292241,-74.038366,"Mall Drive West, Newport Centre Mall, Jersey City, Hudson County, New Jersey, 07310, United States",20880.0,133636.0,51.38298923244098,80.34415987724233
1285,ORLANDO             ,FL,32809,7654,8001 S ORANGE BLOSSOM TRL,28.4471587,-81.3945957,"MR. PUFFS, 8001, South Orange Blossom Trail, Orlando, Orange County, Florida, 32809, United States",2580.0,31966.0,6.1888768151733675,6.0538526177340986
1335,GREENSBORO          ,NC,27406,7604,3200 W FRIENDLY AVE      ,36.083887,-79.833264,"3200, West Friendly Avenue, Greensboro, Guilford County, North Carolina, 27408, United States",813.0,37548.0,1.8250518620962164,10.132622118300391
1125,MIAMI               ,FL,33145,3014,3655 SW 22ND ST          ,25.7507829,-80.2533206,"3655, Southwest 22nd Street, Miami, Miami-Dade County, Florida, 33145, United States",11721.0,37167.0,28.76370641114294,9.854225274926016
1797,OVERLAND PARK       ,KS,66209,2732,6327 W119TH STREET       ,38.9742502,-94.6851702,"Overland Park, Johnson County, Kansas, United States",3168.0,106054.0,7.641015509236393,60.189982097840776
1711,CAMP HILL           ,PA,17011,0,3740 CAPITAL CITY MALL DR,40.2398118,-76.9199742,"Camp Hill, Cumberland County, Pennsylvania, 17011, United States",2657.0,63137.0,6.379037834634002,28.830514047714733
1706,LAFAYETTE           ,LA,70508,6705,4405 AMBASSADOR CAFFERY  ,30.158308332859328,-92.05040957861108,"4405, Ambassador Caffery Parkway, Lafayette, Lafayette Parish, Louisiana, 70508, United States",1395.0,69131.0,3.262372814383088,33.210332103321036
1629,PHARR               ,TX,78577,2108,500 N JACKSON RD B-1     ,26.1939582,-98.1837993,"Pharr Fire Department Headquarters, East Park Avenue, McDaniel Colonia, Pharr, Hidalgo County, Texas, 78577, United States",2231.0,32054.0,5.326978168527116,6.1181542508494395
1467,FORT COLLINS        ,CO,80525,2607,3400 S COLLEGE AVENUE    ,40.541022049999995,-105.07648125014006,"Sears Appliances, 3400, South College Avenue, Warren Farms, Fort Collins, Larimer County, Colorado, 80525, United States",1998.0,63754.0,4.751555862886496,29.28135617989843
5205,BRIDGEHAMPTON       ,NY,11976,0,2044 MONTAUK HWY         ,40.9319473,-72.3180637,"2044, Montauk Highway, Bridgehampton, Town of Southampton, Suffolk County, New York, 11976, United States",128.0,160536.0,0.13335967598537982,100.0
3659,HOFFMAN EST         ,IL,60179,3333,3333 BEVERLY ROAD        ,42.079958588306035,-88.22349212286579,"3333, Beverly Road, Hoffman Estates, Barrington Township, Cook County, Illinois, 60179, United States",4406.0,68864.0,10.698409562382691,33.01523510284608
7716,HESPERIA            ,CA,92345,0,SWC MAIN ST/ESCONDIDO AVE,34.4263886,-117.3008784,"Hesperia, San Bernardino County, California, United States",960.0,42421.0,2.1880865356119727,13.693325052062402
9380,BAYSHORE            ,NY,12010,0,SEQ SUNRISE HWY AND SAXON,40.8474803,-73.8163619,"Bayshore Avenue, Spencer Estates, Bronx County, The Bronx, City of New York, New York, 10465, United States",221.0,44256.0,0.3630346735157562,15.034160242592526
7464,N MELBOURNE         ,FL,32935,0,NWC WICKHAM RD & PARKWAY ,28.106471,-80.6371513,"Melbourne, Brevard County, Florida, United States",3037.0,40828.0,7.317494813790379,12.529319352599465
9356,CREVE COUER         ,MO,63141,5098,955 WOODCREST EXEC DRIVE ,38.6599786877916,-90.45357480808708,"Creve Coeur, Saint Louis County, Missouri, 63141, United States",1457.0,102708.0,3.4154894794033392,57.745058638705196
9384,JACKSON HEIGHTS     ,NY,12010,0,SEQ GRAND CENTRAL PKWY   ,40.7556561,-73.8857755,"Jackson Heights, Queens County, City of New York, New York, 11372, United States",221.0,44256.0,0.3630346735157562,15.034160242592526
7712,HAZLET              ,NJ,7730,0,ST RTE 35 & MILLER AVE   ,47.5999045,7.5298622,"35, Route de Service, Saint-Louis, Mulhouse, Haut-Rhin, Grand Est, France métropolitaine, 68300, France",3555.0,87430.0,8.596759853798282,46.581418289430424
9731,WETUMPKA            ,AL,35206,0,US 231 SOUTH OF MAIN     ,32.5437448,-86.2119127,"Wetumpka, Elmore County, Alabama, United States",1680.0,32001.0,3.96621554875037,6.079427130904973
4804,LOUISVILLE          ,KY,40228,0,SWC OF BARDSTOWN & BEULAH,38.2542376,-85.759407,"Louisville, Jefferson County, Kentucky, United States",2080.0,59005.0,4.954065000493925,25.81126009279895
9718,WASHINGTON          ,MO,64131,0,HIGHWAY 100  HIGHWAY 47  ,37.9559513,-90.879099,"Washington County, Missouri, United States",2885.0,40128.0,6.942112022127827,12.01782908918198
7780,PHILADELPHIA        ,PA,19134,0,ARAMINGO AVE @ CASTOR AVE,39.9527237,-75.1635262,"Philadelphia, Philadelphia County, Pennsylvania, United States",17295.0,24291.0,42.52938852118937,0.44572722954952326
9321,OTTAWA              ,OH,45750,0,STATE RTE 65 N OF 11TH   ,41.5421375,-83.213342,"Ottawa County, Ohio, United States",250.0,40743.0,0.4346537587671639,12.467209820613059
9441,NEWARK              ,NJ,7470,0,JONES AND SPRINGFIELD    ,40.735657,-74.1723667,"Newark, Essex County, New Jersey, United States",2301.0,103170.0,5.499851822582238,58.08264221256074
3926,CORDOVA             ,TN,38118,0,SWC OF GERMANTOWN RD I-40,-31.6794738,115.7299805,"Cordova Turn, Clarkson, City Of Wanneroo, Western Australia, 6030, Australia",1329.0,31979.0,3.0993776548454015,6.063351722626137
7651,HUNTINGTON          ,NY,13031,0,RTE 110                  ,40.8994339,-73.3611417,"fire route, Centerport, Town of Huntington, Suffolk County, New York, 11721, United States",640.0,69877.0,1.3978069742171293,33.75543458404881
7696,WINSTON SALEM       ,NC,27106,0,SEC UNIVERSITY PKWY      ,36.0998131,-80.2440518,"Winston-Salem, Forsyth County, North Carolina, United States",1571.0,48892.0,3.697026573150252,18.4216871871689
9451,BROOKLYN            ,NY,11214,0,ATLANTIC AVE AND FLATBUSH,40.6526006,-73.9497211,"Brooklyn, Kings County, City of New York, New York, United States",40566.0,43398.0,100.0,14.407219319717951
7731,MACON               ,GA,31206,0,SEC EISENHOWER/HARRISON  ,32.8406946,-83.6324022,"Macon, Bibb County, Georgia, United States",1041.0,23681.0,2.3881260495900425,0.0
7675,MIDDLETOWN          ,RI,2840,0,SWC ROUTE #138 AND VALLEY,41.5456578,-71.2914388,"Middletown, Newport County, Rhode Island, 02842, United States",3227.0,60751.0,7.786723303368566,27.08706294983742
9432,MARGATE             ,FL,33063,4563,ATLANTIC BLVD AND HWY 441,26.2445263,-80.206436,"Margate, Broward County, Florida, 33063, United States",5737.0,43756.0,13.985478613059371,14.668810054437179
7771,COMMACK             ,NY,14216,0,S/S VETERANS & COMMACK   ,40.8428759,-73.2928943,"Commack, Town of Huntington, Suffolk County, New York, 11725, United States",8070.0,45764.0,19.74711054035365,16.136056410069052
7373,LOS LUNAS           ,NM,87301,0,SEC STATE RD 6 & STATE 47,34.7994891,-106.7371807,"Los Lunas, NM 314, Los Lunas, Valencia County, New Mexico, United States",287.0,46284.0,0.5260298330534426,16.51602060575061
4816,WEST DUNDEE         ,IL,61364,0,SWC RTE 72 & VILLAGE QTR ,42.0980812,-88.2828581,"West Dundee, Dundee Township, Kane County, Illinois, United States",139.0,43910.0,0.16052553590832758,14.781337912389025
4846,DYERSBURG           ,TN,38024,0,NWC US 51 BYPASS AND PARR,36.0346393,-89.3857496,"Dyersburg, Dyer County, West Tennessee, Tennessee, 38024, United States",194.0,37981.0,0.2963548355230663,10.449015381242921
7666,SEEKONK             ,MA,2771,0,N/S RTE 6 EAST OF MINK ST,41.808434,-71.3369973,"Seekonk, Bristol County, Massachusetts, United States",746.0,70966.0,1.6595870789291711,34.55116729385115
4786,YORK                ,PA,17404,0,WEST MANCHESTER MALL     ,39.9710325,-76.7712263,"West Manchester Town Center, 415, Town Center Drive, West Manchester Town Center, Shiloh, West Manchester Township, York County, Pennsylvania, 17408, United States",1676.0,52079.0,3.956337054232935,20.750429286471082
7796,ST LOUIS            ,MO,63116,0,GRAVOIS AVE              ,38.5834314,-90.2644967,"Gravois Avenue, Bevo Mill, St. Louis, Missouri, 63116, United States",7909.0,40251.0,19.34950113602687,12.107705235468197
7722,SKOWHEGAN           ,ME,4976,0,E/S RTE 201 & E MADISON  ,51.4768556,-0.2313972,"South route, Barnes, London Borough of Richmond upon Thames, London, Greater London, England, SW13 9WT, United Kingdom",99.0,36512.0,0.06174059073397214,9.375616528442512
9454,NORTH BERGEN        ,NJ,7047,0,TONNELLE AVE AND 70TH ST ,40.8042674,-74.012084,"North Bergen, Hudson County, New Jersey, United States",11838.0,52908.0,29.05265237577793,21.356179898432647
7715,SOMERS POINT        ,NJ,8873,0,ROUTE #9 & BETHLE ROAD   ,42.923737,-72.299955,"Route 9, Keene, Cheshire County, New Hampshire, 03431, United States",1547.0,85148.0,3.637755606045639,44.91396003068942
9297,AMERICUS            ,GA,31204,0,STATE RT 27  US 280      ,32.0723862,-84.2326876,"Americus, Sumter County, Georgia, 31709, United States",2152.0,27439.0,5.131877901807765,2.7459720141755875
9739,DEMOPOLIS           ,AL,36111,0,US 80  BAILEY            ,32.5049911,-87.8256021,"Bailey Drive, Demopolis, Marengo County, Alabama, 36732, United States",2832.0,53339.0,6.811221969771807,21.67111176062256
7770,LITTLETON           ,NH,3801,0,SC I-93 & ROUTE 302      ,45.6334609,11.1791173,"SC, Pasquali, Durlo, Crespadoro, Comunità Montana Agno-Chiampo, Vicenza, Veneto, Italia",904.0,65355.0,2.0497876123678753,30.451207482371856
9767,NEOSHO              ,MO,64506,0,NEOSHO BLVD AND HWY 69   ,36.8665201,-94.3701651,"Neosho, Newton County, Missouri, United States",2185.0,53908.0,5.213375481576608,22.086880274743343
9708,OAK HARBOR          ,WA,98310,0,SR 20  700 AVENUE        ,48.2931559,-122.643224,"Oak Harbor, Island County, Washington, United States",3137.0,47817.0,7.5644571767262665,17.636184282634908
4791,LONGVIEW            ,WA,99208,0,OCEAN BEACH HWY AND 15   ,46.1377048,-122.934462,"Longview, Cowlitz County, Washington, United States",1001.0,53820.0,2.289341104415687,22.022578641628
7745,SHIRLEY             ,NY,14706,0,N.S MONTAUK W OF WM FLOYD,40.8012894,-72.8675941,"Shirley, Town of Brookhaven, Suffolk County, New York, 11967, United States",81.0,50647.0,0.0172873654055122,19.704066347594168
9719,NORWICH             ,NY,12601,0,ROUTE 12  ROUTE 320      ,42.5311809,-75.5235149,"City of Norwich, Chenango County, New York, 13815, United States",2308.0,42411.0,5.51713918798775,13.686018048299294
9216,CLAREMONT           ,NH,3103,0,RTE 103 WASHINGTON ST    ,43.3727579,-72.3382504,"Claremont, Sullivan County, New Hampshire, United States",3734.0,49518.0,9.038822483453522,18.879105622739395
4805,AMSTERDAM           ,NY,12010,0,NEW RTE 30 AND MIAMI AVE ,42.943367,-74.1850436,"City of Amsterdam, Montgomery County, New York, 12010, United States",221.0,44256.0,0.3630346735157562,15.034160242592526
9310,ROANOKE             ,AL,35801,0,US 431 ROCK MILL ROAD    ,33.1505606,-85.37153,"Roanoke, Randolph County, Alabama, 36274, United States",1527.0,59352.0,3.588363133458461,26.064813123378762
9460,PEMBROKE            ,MA,1950,0,SEC ROUTE 3 AND ROUTE 139,40.6597552,-122.3726945,"1950, Pembroke Lane, Windsor Estates, Shasta Lake, Shasta County, California, 96019, United States",2086.0,78638.0,4.968882742270078,40.1571005809068
9771,SPRINGFIELD         ,MO,65803,0,CHESTNUT  WEST BYPASS    ,37.1968298,-93.2946576,"Springfield, Greene County, Missouri, United States",440.0,33756.0,0.9038822483453522,7.3618062913302404
9546,GRASS VALLEY        ,CA,95035,0,BRUNSWICK RD  SUTTON RD  ,39.2190607,-121.06292,"Grass Valley, Nevada County, California, United States",2880.0,95437.0,6.929763903981033,52.43213620255014
9316,HARTWELL            ,GA,30318,0,STATE RT 51  LEARD ST    ,34.3528825,-82.932087,"Hartwell, Hart County, Georgia, United States",2442.0,39421.0,5.848068754321841,11.50122392313032
9434,NANUET              ,NY,12110,0,ROUTE 59 AND KEMMER AVE  ,41.0903087,-74.0148524,"Nanuet, Orchard Street West, Nanuet, Town of Clarkstown, Rockland County, New York, 10954, United States",1492.0,76408.0,3.5019263064309,38.52763874173395
7774,HUNTINGDON          ,PA,17745,0,NEQ US RTE #22 & FOURTH  ,40.3446332,-78.0281185,"Huntingdon County, Pennsylvania, United States",88.0,36547.0,0.0345747308110244,9.401191041613387
9452,WASHINGTON          ,DC,20222,0,RI AVE AND BRENTWOOD ROAD,38.8950368,-77.0365427,"Washington, District of Columbia, United States",17689.0,78848.0,43.502420231156776,40.31054765993204
9468,BROOKLYN            ,NY,11214,0,FLATBUSH AND NORSTRAND AV,40.6526006,-73.9497211,"Brooklyn, Kings County, City of New York, New York, United States",40566.0,43398.0,100.0,14.407219319717951
9276,BISHOP              ,CA,92627,0,NEC MAIN  EAST YANEY     ,37.363679,-118.39524,"Bishop, Inyo County, California, United States",9688.0,58167.0,23.742961572656327,25.198933177450588
9799,SHOW LOW            ,AZ,85220,0,NWC HWY 77  HWY 60       ,32.7414535,-114.4810912,"Show Low, Buckshot, Yuma County, Arizona, United States",482.0,46589.0,1.0076064407784253,16.738884220525375
7635,ATLANTIC CITY       ,NJ,8232,0,BLACKHORSE PIKE / RTE 575,39.3642852,-74.4229351,"Atlantic City, Atlantic County, New Jersey, 08401, United States",3262.0,37330.0,7.873160130396127,9.97332943626466
9307,HAMILTON            ,MT,59404,0,US HWY 93  THIRD ST      ,46.2561815,-114.15464243514151,"Hamilton, Ravalli County, Montana, United States",74.0,55448.0,0.0,23.212158854261812
9370,ROELAND PARK        ,KS,66205,0,4950 ROE AVENUE          ,39.038765867417034,-94.6397573073181,"4950, Roe Avenue, Roeland Park Shopping Center, Roeland Park, Johnson County, Kansas, 66205, United States",3520.0,78648.0,8.51032302677072,40.1644075846699
7518,CLINTON             ,MD,20735,0,RTE 5 AND WOODYARD       ,38.752260699999994,-76.89691550043136,"Clinton, Prince George's County, Maryland, 20735, United States",1366.0,100651.0,3.1907537291316803,56.2420079646341
4888,MADISONVILLE        ,KY,42431,0,SEC CENTRAL CITY RD      ,37.3280037,-87.4986989,"Madisonville, Hopkins County, Kentucky, 42431, United States",162.0,39377.0,0.21732687938358194,11.46907310657265
9404,ALBANY              ,NY,12205,0,I 90 AND EVERETT         ,42.75496845000001,-73.85268808034111,"8 Cragmoor Ln, Albany, NY 12205, Town of Colonie, Albany County, New York, United States",1708.0,65090.0,4.035365010372419,30.25757188264952
9778,TOMAH               ,WI,53220,0,US 12 N OF TOWN RD       ,43.978576,-90.5040214,"Tomah, Monroe County, Wisconsin, 54660, United States",4751.0,46891.0,11.550429714511507,16.959555734171204
9730,LEEDS               ,AL,35094,0,122 PARKWAY DRIVE SE     ,33.5439212,-86.5427551,"Leeds, Jefferson County, Alabama, 35094, United States",247.0,51912.0,0.42724488787908727,20.628402323627196
9800,MARIANNA            ,FL,33711,0,US HWY 90  SR 73 N E     ,30.7743596,-85.2268735,"Marianna, Jackson County, Florida, 32447, United States",4019.0,36154.0,9.742665217820806,9.114025793723284
9763,EASTON              ,MD,21133,0,US ROUTE 50 NORTHBOUND   ,38.7744952,-76.0763065,"Easton, Talbot County, Maryland, 21601, United States",2960.0,75010.0,7.127333794329744,37.5061196156516
4889,GAFFNEY             ,SC,29412,0,SC HWY 11 AT ELLIS FERRY ,35.0717945,-81.6498195,"Gaffney, Cherokee County, South Carolina, 29342, United States",914.0,59216.0,2.074483848661464,25.965437872200503
4896,LAKE WORTH          ,TX,76135,3798,NWC LOOP 820 JACKSBORO   ,32.8201807,-97.41652399709137,"Lake Worth High School, 4210, Boat Club Road, Fort Worth, Tarrant County, 76135, United States",797.0,52945.0,1.7855378840264744,21.383215812356145
4799,SOUTH HILL          ,VA,23452,0,E/S US HWY 58            ,56.6314323,-61.4430678,"South Hill, Labrador, Newfoundland and Labrador, Canada",4052.0,61522.0,9.824162797589647,27.650432939972962
7840,MANTENO             ,IL,60950,0,8374 N 4000 EAST         ,41.2506759,-87.8314299,"Manteno, Kankakee County, Illinois, 60950, United States",159.0,64669.0,0.2099180084955053,29.949947024222716
7800,HOFFMAN ESTATES     ,IL,60179,0,3333 BEVERLY ROAD        ,42.079958588306035,-88.22349212286579,"3333, Beverly Road, Hoffman Estates, Barrington Township, Cook County, Illinois, 60179, United States",4406.0,68864.0,10.698409562382691,33.01523510284608
4784,LONG BEACH          ,MS,39560,6114,214 EAST BEACH           ,30.3504751,-89.1528176,"Long Beach, Harrison County, Mississippi, 39560, United States",772.0,50177.0,1.7237972932925023,19.360637170728143
9423,BRIDGEHAMPTON       ,NY,11932,3040,BLDG 82 MONTAUK HIGHWAY  ,40.9378088,-72.3008997,"Bridgehampton, Town of Southampton, Suffolk County, New York, 11932, United States",162.0,67083.0,0.21732687938358194,31.71385773263673
3202,WESTWOOD            ,NJ,7675,1674,700 BROADWAY             ,40.9965395,-74.0383612,"Kmart, 700, Broadway, Westwood, Bergen County, New Jersey, 07675, United States",2740.0,101924.0,6.584016595870789,57.17218954367761
3074,MIAMI               ,FL,33183,4002,14091 SW 88TH ST         ,25.68513804347826,-80.42341869565217,"14091, Southwest 88th Street, Kendall Lakes, Miami-Dade County, Florida, 33186, United States",6235.0,52571.0,15.215351180480093,21.109933871615944
